,Property ID,Locality data,Price,Property type,Property subtype,Type of sale,Number of bedrooms,Living area m²,Equipped kitchen,Furnished,Open fire,Terrace surface m²,Garden area m²,Number of facades,Swimming pool,Building condition
74, 20230488,4690,475000,house,house,None,4,215,0,0,1,55,520,3,0,As new
75, 20231746,1180,1495000,house,house,None,3,210,1,0,1,None,600,3,0,To be done up
76, 20236251,9620,249000,house,house,None,3,177,1,0,1,12,170,3,0,To renovate
77, 20237627,4633,260000,house,house,None,4,140,1,0,1,72,630,3,0,Good
78, 20234341,3090,415000,house,town-house,None,3,151,1,0,1,12,70,2,0,Good
79, 20238091,1970,495000,house,house,None,3,144,0,0,1,13,500,3,0,To renovate
80, 20236921,2861,528000,house,house,None,3,185,1,0,1,None,None,None,0,Good
81, 20235537,1800,649000,house,house,None,4,213,0,0,1,None,150,4,0,As new
82, 20230260,4101,279000,house,house,None,4,101,1,0,1,14,100,3,0,As new
83, 20235150,4420,215000,house,house,None,2,106,1,0,1,15,40,2,0,Just renovated
84, 20235628,4042,240000,house,house,None,4,190,1,0,1,50,None,4,0,To renovate
85, 20235237,2140,325000,house,house,None,4,196,1,0,1,8,8,2,0,Good
86, 20235231,4590,399000,house,house,None,4,170,1,1,1,100,850,4,0,Good
87, 20233018,9890,650000,house,house,None,4,212,0,0,1,32,185,3,0,As new
88, 20239717,9600,139000,house,house,None,3,110,1,0,1,None,20,2,0,Good
89, 20241168,5580,249000,house,house,None,8,340,0,0,1,30,520,2,0,To renovate
90, 20241167,5580,249000,house,apartment-block,None,8,340,0,0,1,30,520,2,0,To renovate
91, 20240917,9340,299000,house,house,None,4,225,0,0,1,14,95,2,0,Good
92, 20237239,2540,595000,house,house,None,3,186,0,0,1,21,None,None,0,Good
93, 20230284,9450,349000,house,house,None,3,249,1,0,1,None,None,2,0,Good
94, 20231150,2900,419000,house,house,None,4,250,1,0,1,17,91,2,0,As new
95, 20232412,9600,580000,house,mansion,None,3,210,1,0,1,None,None,4,0,Good
96, 20236264,9990,235000,house,house,None,3,105,1,0,1,None,200,3,0,To renovate
97, 20238356,3320,325000,house,house,None,3,150,0,0,1,30,280,3,0,Good
